temporada,cliente,producto,especie,variedad,pdf,url_estudio,url_pdf
2014-2015,Anasac,IMPULSO 25 SC Y KREXIM METIL 50 SC,Ciruelo japones,D’Agen,2014-2015__ANASAC__IMPULSO_25_SC_Y_KREXIM_METIL_50_SC__CIRUELO_JAPONES__DAGEN.pdf,https://ceresearch.com/estudios/ensayo-anasac-impulso-25-sc-y-krexim-metil-50-sc/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Anasac-6465d95e3de8bfe71d00c240a7e3629c-1.pdf
2020-2021,BioAgro,PROBO 53 VF,Kiwi,Hayward,2020-2021__BIOAGRO__PROBO_53_VF__KIWI__HAYWARD.pdf,https://ceresearch.com/estudios/ensayo-bioagro-probo-53-vf-2/,https://ceresearch.com/wp-content/uploads/2022/10/BIOAGRO.-PROBO-53-VF.-KIWI.DECAIMIENTO-PRODUCTIVO..pdf
2015-2016,Bioamerica,KENDAL,Cerezo,Sweet heart,2015-2016__BIOAMERICA__KENDAL__CEREZO__SWEET_HEART.pdf,https://ceresearch.com/estudios/ensayo-bioamerica-kendal/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Bioamerica-e57676ac77fe40881fd1b7065f10e717.pdf
2015-2016,Bioamerica,MEGAFOL,Kiwi,Hayward,2015-2016__BIOAMERICA__MEGAFOL__KIWI__HAYWARD.pdf,https://ceresearch.com/estudios/ensayo-bioamerica-megafol/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Bioamerica-1c0bc6251c86194b0828cb1815f86191.pdf
2019-2020,BioApply,Ca APPLY,Cerezo,Lapins,2019-2020__BIOAPPLY__CA_APPLY__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-bioapply-ca-apply-2/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-CA-Apply-448b69ada6a6ddc83a8a3b5b2f6c1d52.pdf
2021-2022,BioApply,FASE 2 APPLY,Tomate industrial,Pomarola,2021-2022__BIOAPPLY__FASE_2_APPLY__TOMATE_INDUSTRIAL__POMAROLA.pdf,https://ceresearch.com/estudios/ensayo-bioapply-fase-2-apply/,https://ceresearch.com/wp-content/uploads/2022/09/2122168.-INFORME.-BIOAPPLY.-FASE-2.-COLOR-TOMATE-INDUSTRIAL.pdf
2016-2017,Fertum,FERTUM CIRUELO,Ciruelo europeo,D’Agen,2016-2017__FERTUM__FERTUM_CIRUELO__CIRUELO_EUROPEO__DAGEN.pdf,https://ceresearch.com/estudios/ensayo-fertum-fertum-ciruelo-2/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Fertum-fee907a5483b0fe2a100cbb07efa0fe5.pdf
2020-2021,FMC,EXIREL SE 100 GL,Nectarín,Artic star,2020-2021__FMC__EXIREL_SE_100_GL__NECTARIN__ARTIC_STAR.pdf,https://ceresearch.com/estudios/ensayo-fmc-exirel-se-100-gl/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Exirel-SE-100-GL-363ddded2cfed9c4614f0a6f9c555ccc.pdf
2015-2016,Adama,XC-50 Y CX-10,Cerezo,Rainier,2015-2016__ADAMA__XC-50_Y_CX-10__CEREZO__RAINIER.pdf,https://ceresearch.com/estudios/ensayo-adama-xc-50-y-cx-10/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Adama-7909a45d7a32cb71feac7651feba8d1d.pdf
2015-2016,Aminochem,Bioil-S (pro),Nectarín,Artic snow,2015-2016__AMINOCHEM__BIOIL-S_PRO__NECTARIN__ARTIC_SNOW.pdf,https://ceresearch.com/estudios/ensayo-aminochem-bioil-s-pro-2/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-AminoChem-9a03d057c0b9fadf8b82d73579137b02.pdf
2023 – 2024,Corteva Biologicals,STIMULATE FRUIT SIZER,Nectarín,Bright pearl,2023_2024__CORTEVA_BIOLOGICALS__STIMULATE_FRUIT_SIZER__NECTARIN__BRIGHT_PEARL.pdf,https://ceresearch.com/estudios/ensayo-corteva-biologicals-stimulate-fruit-sizer-2/,https://ceresearch.com/wp-content/uploads/2024/10/2324098.-INFORME.-CORTEVA-BIOLOGICALS.-STIMULATE-FRUIT-SIZER.-CALIBRE-NECTARIN.pdf
2019-2020,Nutriprove,SUNCROPS,Manzano,Pink lady,2019-2020__NUTRIPROVE__SUNCROPS__MANZANO__PINK_LADY.pdf,https://ceresearch.com/estudios/ensayo-nutriprove-suncrops/,https://ceresearch.com/wp-content/uploads/2022/09/1920126.-Informe-Nutriprove-Suncrops.-Manzano-Pink-Lady.-2019-2020.pdf
2019-2020,Point Americas,PROPULSE,Cerezo,Royal dawn,2019-2020__POINT_AMERICAS__PROPULSE__CEREZO__ROYAL_DAWN.pdf,https://ceresearch.com/estudios/ensayo-point-americas-propulse/,https://ceresearch.com/wp-content/uploads/2022/09/1920057.-Point-Americas.-Propulse.-Cuaja.-2019-2020.pdf
2020-2021,Stoller,PROSTART PLUS,Cerezo,Santina,2020-2021__STOLLER__PROSTART_PLUS__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-prostart-plus-6/,https://ceresearch.com/wp-content/uploads/2022/09/INFORME.STOLLER.PROSTART-PLUS.SANTINA-CEREZOS.2021013.pdf
2016-2017,SummitAgro,MIMIC 2F,Vid,Cabernet sauvignon,2016-2017__SUMMITAGRO__MIMIC_2F__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-summitagro-mimic-2f/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Mimic-f6659bb07c4d284d38ec8d0d398cc381.pdf
2019-2020,Tattersall/Daymsa,SYNCRON,Cerezo,Santina,2019-2020__TATTERSALL_DAYMSA__SYNCRON__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-tattersall-daymsa-syncron/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Syncron-76f842c4d0ad59d71f46798557499c66.pdf
2015-2016,Valent,ADMIRAL 10 EC,Vid,Cabernet sauvignon,2015-2016__VALENT__ADMIRAL_10_EC__VID__CABERNET_SAUVIGNON.pdf,https://ceresearch.com/estudios/ensayo-valent-admiral-10-ec/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Valent-a8d30534e39f25912843a4775bbeb15e.pdf
2019-2020,AgroTrust,PENERGETIC,Uva de mesa,Crimson seedless,2019-2020__AGROTRUST__PENERGETIC__UVA_DE_MESA__CRIMSON_SEEDLESS.pdf,https://ceresearch.com/estudios/ensayo-agrotrust-penergetic/,https://ceresearch.com/wp-content/uploads/2022/09/1920247-Informe.-CER.-Agrotrust.-Penergetic.-Vid-Crimson.-2019-2020.pdf
2015-2016,Cosmocel,MAXI-GROW EXCEL,Cerezo,Bing,2015-2016__COSMOCEL__MAXI-GROW_EXCEL__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-cosmocel-maxi-grow-excel/,https://ceresearch.com/wp-content/uploads/2022/08/Cosmocel-6c316717472fac33ca0ba33042f34063.pdf
2015-2016,Fertum,FARTUM ANTICRACKING Y FARTUM SILICIUM PK,Cerezo,Bing,2015-2016__FERTUM__FARTUM_ANTICRACKING_Y_FARTUM_SILICIUM_PK__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-fertum-fartum-anticracking-y-fartum-silicium-pk/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-Fertum-906cd5a09ab9cba436ea06f0cc4634c9.pdf
2014-2016,Kelpak,KELPAK,Cerezo,Bing,2014-2016__KELPAK__KELPAK__CEREZO__BING.pdf,https://ceresearch.com/estudios/ensayo-kelpak-kelpak-8/,https://ceresearch.com/wp-content/uploads/2023/07/Ureta-Atenas-2019.pdf
2020-2021,NS Agro,HYDRA HUME,Cerezo,Santina,2020-2021__NS_AGRO__HYDRA_HUME__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-ns-agro-hydra-hume/,https://ceresearch.com/wp-content/uploads/2022/09/2021021.HYDRA-HUME.CALIDAD-SUELO.NSAGRO-CEREZO.-INFORME.2020-2021.pdf
2019-2020,Point Americas,PROPULSE,Cerezo,Skeena,2019-2020__POINT_AMERICAS__PROPULSE__CEREZO__SKEENA.pdf,https://ceresearch.com/estudios/ensayo-point-americas-propulse-2/,https://ceresearch.com/wp-content/uploads/2022/09/1920065.-Point-Americas.-Propulse.-Cuaja.-Skeena.2019-2020.pdf
2022-2023,Stoller,STIMULATE FRUIT SIZER,Cerezo,Santina,2022-2023__STOLLER__STIMULATE_FRUIT_SIZER__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-stoller-stimulate-fruit-sizer/,https://ceresearch.com/wp-content/uploads/2023/08/2223074.-INFORME.-STOLLER.-STIMULATE-FRUIT-SIZER.-CALIDAD-DE-FRUTA-CEREZO.pdf
2018-2019,Vals,NITROBRAKE,Cerezo,Lapins,2018-2019__VALS__NITROBRAKE__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-vals-nitrobrake-8/,https://ceresearch.com/wp-content/uploads/2022/08/Producto_-Nitrobrake-774945197b61000b32363ed4a2d02a30.pdf
2019-2020,ActiGen,ACTIGEN,Nogal,Chandler,2019-2020__ACTIGEN__ACTIGEN__NOGAL__CHANDLER.pdf,https://ceresearch.com/estudios/ensayo-actigen-actigen/,https://ceresearch.com/wp-content/uploads/2022/09/Informe-ActiGen-Nogal-Chandler-2018-2020-Final^L.pdf
2015-2016,Aminochem,BIOIL-S (PRO),Nectarín,Artic snow,2015-2016__AMINOCHEM__BIOIL-S_PRO__NECTARIN__ARTIC_SNOW.pdf,https://ceresearch.com/estudios/ensayo-aminochem-bioil-s-pro-3/,https://ceresearch.com/wp-content/uploads/2022/08/Ensayo-AminoChem-b44fa2b568ca1cfef64d1d56ef197e38.pdf
NA,BioApply,BAC APPLY,NA,NA,NA__BIOAPPLY__BAC_APPLY__NA__NA.pdf,https://ceresearch.com/estudios/ensayo-bioapply-bac-apply/,https://ceresearch.com/wp-content/uploads/2022/09/914.568-A.FITOPATOLOGIA.BIO-APPLY.-Biocontrol-Ps.-1.pdf
2020-2021,BioApply,TENS ZOLAR,Ciruelo japones,Angeleno,2020-2021__BIOAPPLY__TENS_ZOLAR__CIRUELO_JAPONES__ANGELENO.pdf,https://ceresearch.com/estudios/ensayo-bioapply-tens-zolar/,https://ceresearch.com/wp-content/uploads/2022/09/2021111.BIOAPPLY.TENS-ZOLAR.CIRUELO.ANGELENO..pdf
2022-2023,Biogrow,CITOBLOOM,Cerezo,Lapins,2022-2023__BIOGROW__CITOBLOOM__CEREZO__LAPINS.pdf,https://ceresearch.com/estudios/ensayo-biogrow-citobloom/,https://ceresearch.com/wp-content/uploads/2023/08/2223050.-INFORME.-BIOGROW.-CITOBLOOM.-PRODUCCION-CEREZO.pdf
2018-2019,SUMMITAGRO,"KENJA, KALIGREEN, YAMATO",Cerezo,Santina,2018-2019__SUMMITAGRO__KENJA_KALIGREEN_YAMATO__CEREZO__SANTINA.pdf,https://ceresearch.com/estudios/ensayo-summitagro-kenja-kaligreen-y-yamato/,https://ceresearch.com/wp-content/uploads/2023/07/1819178-Informe-Summit-Agro-Cerezo-Santina-V2-1.pdf
